N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
56,DB손해보험,"137,800","1,200",-0.86%,500,"97,562","70,800",44.24,"31,967",5.73,18.98,
57,한국항공우주,"95,900","1,100",-1.13%,"5,000","93,479","97,475",35.14,"145,370",56.11,10.42,
58,유한양행,"116,500","2,500",+2.19%,"1,000","93,163","79,968",16.72,"156,461",118.03,3.41,
59,TIGER 미국S&P500,"22,235",45,-0.20%,0,"90,941","409,000",0.06,"1,923,819",N/A,N/A,
60,HD현대마린솔루션,"202,000","4,500",-2.18%,500,"90,555","44,829",30.13,"15,964",37.07,44.98,
61,KODEX CD금리액티브(합성),"1,073,690",70,+0.01%,0,"89,416","8,328",0.00,"81,038",N/A,N/A,
62,두산,"537,000","5,000",+0.94%,"5,000","88,733","16,524",16.96,"23,462",-76.90,-14.57,
63,LS ELECTRIC,"290,000","16,000",+5.84%,"5,000","87,000","30,000",24.23,"150,496",37.31,13.44,
64,대한항공,"23,500",50,+0.21%,"5,000","86,532","368,221",16.54,"211,671",6.38,13.17,
65,포스코인터내셔널,"48,250",50,-0.10%,"5,000","84,883","175,923",5.70,"91,898",19.41,8.14,
66,SK바이오팜,"103,650","3,350",+3.34%,500,"81,172","78,313",10.71,"143,969",31.71,58.01,
67,KODEX 머니마켓액티브,"103,690",10,+0.01%,0,"79,355","76,531",0.00,"148,520",N/A,N/A,
68,HD현대미포,"198,500","3,000",-1.49%,"5,000","79,285","39,942",22.72,"101,203",53.74,5.25,
69,한미반도체,"82,700",200,-0.24%,100,"78,823","95,312",7.18,"70,893",37.30,27.43,
70,에이피알,"210,500","9,500",-4.32%,100,"78,792","37,431",24.34,"426,785",45.40,41.34,
71,한국금융지주,"131,000","2,100",+1.63%,"5,000","73,001","55,726",37.47,"44,465",5.70,11.54,
72,한진칼,"109,300",200,-0.18%,"2,500","72,971","66,762",20.82,"8,148",16.93,16.75,
73,코웨이,"101,200","1,200",+1.20%,500,"72,772","71,909",60.09,"26,564",12.80,19.38,
74,KODEX 200,"43,040",115,+0.27%,0,"71,081","165,150",30.93,"1,397,902",N/A,N/A,
75,카카오페이,"52,500","5,300",-9.17%,500,"70,914","135,074",33.67,"1,780,615","1,500.00",-0.73,
76,NH투자증권,"19,140",50,+0.26%,"5,000","68,204","356,344",14.14,"96,846",9.91,8.73,
77,아모레퍼시픽,"116,600","1,500",-1.27%,500,"68,203","58,493",22.93,"66,013",62.09,11.69,
78,S-Oil,"59,600",700,+1.19%,"2,500","67,099","112,583",74.57,"22,711",-15.47,-2.18,
79,현대건설,"59,200",800,-1.33%,"5,000","65,923","111,356",24.33,"295,384",-25.63,-2.09,
80,LG씨엔에스,"65,800",900,-1.35%,500,"63,751","96,886",6.53,"110,942",14.84,18.32,
81,한화,"84,900",200,-0.24%,"5,000","63,640","74,959",16.79,"68,404",7.05,7.19,
82,LG유플러스,"14,270",370,+2.66%,"5,000","61,336","429,828",39.55,"653,632",13.40,4.40,
83,삼성증권,"68,500",400,+0.59%,"5,000","61,170","89,300",28.53,"38,583",6.84,12.89,
84,현대차2우B,"174,900","1,500",+0.87%,"5,000","61,152","34,964",60.03,"34,966",4.12,N/A,
85,LG디스플레이,"12,040",300,+2.56%,"5,000","60,200","500,000",23.78,"941,194",-8.99,-37.21,
86,삼성카드,"50,700",600,-1.17%,"5,000","58,740","115,859",6.02,"9,129",8.75,8.00,
87,LS,"176,200","3,900",+2.26%,"5,000","56,736","32,200",15.12,"51,738",27.86,5.09,
88,삼성E&A,"28,750",100,-0.35%,"5,000","56,350","196,000",46.20,"184,811",9.87,19.65,
89,맥쿼리인프라,"11,610",20,-0.17%,0,"55,603","478,922",9.14,"147,148",N/A,N/A,
90,TIGER 미국나스닥100,"143,985",285,-0.20%,0,"55,290","38,400",0.06,"120,340",N/A,N/A,
91,키움증권,"202,500","1,500",+0.75%,"5,000","53,006","26,176",28.56,"21,687",6.28,15.98,
92,KODEX 미국S&P500,"20,415",60,-0.29%,0,"51,191","250,750",0.05,"1,452,709",N/A,N/A,
93,넷마블,"59,100",200,+0.34%,100,"50,799","85,954",28.03,"30,308",54.93,0.49,
94,두산밥캣,"52,500",300,-0.57%,500,"50,324","95,856",34.00,"43,727",12.23,8.77,
95,한국타이어앤테크놀로지,"39,700",550,-1.37%,500,"49,178","123,875",34.33,"85,931",5.21,10.79,
96,한화솔루션,"28,150",100,-0.35%,"5,000","48,388","171,893",11.39,"237,271",-5.96,-15.99,
97,이수페타시스,"65,200",200,+0.31%,"1,000","47,863","73,409",25.61,"269,406",42.39,24.92,
98,CJ,"161,800",900,+0.56%,"5,000","47,208","29,177",11.96,"19,110",78.20,1.83,
99,현대오토에버,"169,700","3,000",+1.80%,500,"46,538","27,424",2.80,"21,297",27.12,10.40,
100,TIGER CD금리투자KIS(합성),"56,482",2,0.00%,0,"46,200","81,796",0.03,"35,655",N/A,N/A,
101,BNK금융지주,"14,590",120,-0.82%,"5,000","45,875","314,425",39.71,"189,168",6.56,6.96,
102,JB금융지주,"23,500",400,-1.67%,"5,000","44,928","191,183",34.99,"81,877",6.75,12.80,
103,LG생활건강,"293,000","1,000",+0.34%,"5,000","44,836","15,302",27.78,"6,754",44.92,3.44,
104,오리온,"107,500",200,-0.19%,500,"42,501","39,536",31.98,"12,395",8.07,16.57,
105,현대제철,"31,800",500,+1.60%,"5,000","42,436","133,446",21.52,"127,363",-74.47,-0.06,
106,GS,"44,750",100,-0.22%,"5,000","41,580","92,915",15.58,"37,544",17.05,4.12,
107,엔씨소프트,"189,600",0,0.00%,500,"40,847","21,544",32.47,"15,264",-131.03,2.99,
108,KODEX KOFR금리액티브(합성),"110,665",5,0.00%,0,"40,642","36,725",0.00,"39,153",N/A,N/A,
109,LG이노텍,"169,200",700,+0.42%,"5,000","40,045","23,667",23.18,"50,895",13.86,8.92,
110,현대차우,"170,900","2,800",+1.67%,"5,000","39,890","23,341",57.99,"60,288",4.02,N/A,
111,두산로보틱스,"61,200",800,-1.29%,500,"39,670","64,820",3.14,"66,066",-70.83,-8.69,
112,한미약품,"301,000","8,000",-2.59%,"2,500","38,561","12,811",13.41,"27,759",35.92,11.89,
113,강원랜드,"17,850",10,-0.06%,500,"38,188","213,940",14.24,"76,136",11.21,12.09,
114,SK바이오사이언스,"48,700","1,750",+3.73%,500,"38,166","78,369",6.15,"67,269",-72.04,-3.07,
115,한화엔진,"45,700",400,+0.88%,"1,000","38,135","83,447",16.38,"1,025,855",41.93,25.64,
116,한국가스공사,"39,400",100,+0.25%,"5,000","36,371","92,313",9.98,"53,634",3.87,11.21,
117,KODEX 종합채권(AA-이상)액티브,"118,645",155,-0.13%,0,"35,819","30,190",0.00,"7,940",N/A,N/A,
118,SKC,"92,800","1,500",+1.64%,"5,000","35,142","37,868",12.30,"109,725",-8.73,-34.34,
119,KCC,"392,000","1,500",-0.38%,"5,000","34,835","8,886",10.44,"5,451",4.31,6.08,
120,CJ제일제당,"229,500","2,000",-0.86%,"5,000","34,549","15,054",17.70,"11,959",27.98,1.97,
121,풍산,"123,200","2,600",+2.16%,"5,000","34,526","28,024",24.78,"223,303",17.83,11.33,
122,한전기술,"90,200",200,-0.22%,200,"34,474","38,220",10.59,"110,028",34.71,10.40,
123,에코프로머티,"49,150",200,-0.41%,500,"34,372","69,932",21.15,"70,769",-46.81,-5.56,
